main_static:
O0:
                                type of operation: 	        real time[s]	        user time[s]	      system time[s]

              Counted small number of small files: 	            0.080000	            0.000000	            0.000000
              Removed small number of small files: 	            0.000000	            0.000000	            0.000000
             Counted medium number of small files: 	            0.260000	            0.000000	            0.000000
             Removed medium number of small files: 	            0.000000	            0.000000	            0.000000
              Counted large number of small files: 	            0.650000	            0.010000	            0.000000
              Removed large number of small files: 	            0.000000	            0.000000	            0.000000
            Counted medium number of medium files: 	            0.130000	            0.000000	            0.000000
             Removed small number of medium files: 	            0.000000	            0.000000	            0.000000
            Counted medium number of medium files: 	            0.430000	            0.010000	            0.000000
            Removed medium number of medium files: 	            0.000000	            0.000000	            0.000000
             Counted large number of medium files: 	            0.980000	            0.000000	            0.000000
             Removed large number of medium files: 	            0.000000	            0.000000	            0.000000
              Counted large number of large files: 	            0.420000	            0.010000	            0.000000
              Removed small number of large files: 	            0.000000	            0.000000	            0.000000
             Counted medium number of large files: 	            1.420000	            0.000000	            0.000000
             Removed medium number of large files: 	            0.000000	            0.000000	            0.000000
              Counted large number of large files: 	            3.150000	            0.000000	            0.000000
              Removed large number of large files: 	            0.000000	            0.000000	            0.000000
 Alternating counting and removing on small files: 	            0.530000	            0.000000	            0.010000
Alternating counting and removing on medium files: 	            0.790000	            0.000000	            0.010000
 Alternating counting and removing on large files: 	            2.670000	            0.000000	            0.010000

O2:
                                type of operation: 	        real time[s]	        user time[s]	      system time[s]

              Counted small number of small files: 	            0.080000	            0.000000	            0.000000
              Removed small number of small files: 	            0.000000	            0.000000	            0.000000
             Counted medium number of small files: 	            0.290000	            0.000000	            0.000000
             Removed medium number of small files: 	            0.000000	            0.000000	            0.000000
              Counted large number of small files: 	            0.590000	            0.000000	            0.010000
              Removed large number of small files: 	            0.000000	            0.000000	            0.000000
            Counted medium number of medium files: 	            0.120000	            0.000000	            0.000000
             Removed small number of medium files: 	            0.000000	            0.000000	            0.000000
            Counted medium number of medium files: 	            0.410000	            0.000000	            0.000000
            Removed medium number of medium files: 	            0.000000	            0.000000	            0.000000
             Counted large number of medium files: 	            0.950000	            0.000000	            0.010000
             Removed large number of medium files: 	            0.000000	            0.000000	            0.000000
              Counted large number of large files: 	            0.380000	            0.000000	            0.000000
              Removed small number of large files: 	            0.000000	            0.000000	            0.000000
             Counted medium number of large files: 	            1.400000	            0.000000	            0.010000
             Removed medium number of large files: 	            0.000000	            0.000000	            0.000000
              Counted large number of large files: 	            3.320000	            0.000000	            0.010000
              Removed large number of large files: 	            0.000000	            0.000000	            0.000000
 Alternating counting and removing on small files: 	            0.640000	            0.000000	            0.010000
Alternating counting and removing on medium files: 	            0.980000	            0.000000	            0.010000
 Alternating counting and removing on large files: 	            3.150000	            0.000000	            0.010000

O3:
                                type of operation: 	        real time[s]	        user time[s]	      system time[s]

              Counted small number of small files: 	            0.090000	            0.000000	            0.000000
              Removed small number of small files: 	            0.000000	            0.000000	            0.000000
             Counted medium number of small files: 	            0.330000	            0.000000	            0.000000
             Removed medium number of small files: 	            0.000000	            0.000000	            0.000000
              Counted large number of small files: 	            0.680000	            0.010000	            0.000000
              Removed large number of small files: 	            0.000000	            0.000000	            0.000000
            Counted medium number of medium files: 	            0.170000	            0.000000	            0.000000
             Removed small number of medium files: 	            0.000000	            0.000000	            0.000000
            Counted medium number of medium files: 	            0.470000	            0.010000	            0.000000
            Removed medium number of medium files: 	            0.000000	            0.000000	            0.000000
             Counted large number of medium files: 	            1.110000	            0.010000	            0.000000
             Removed large number of medium files: 	            0.000000	            0.000000	            0.000000
              Counted large number of large files: 	            0.440000	            0.000000	            0.000000
              Removed small number of large files: 	            0.000000	            0.000000	            0.000000
             Counted medium number of large files: 	            1.400000	            0.010000	            0.000000
             Removed medium number of large files: 	            0.000000	            0.000000	            0.000000
              Counted large number of large files: 	            3.300000	            0.000000	            0.000000
